,mon,cust_no,sex,age_flg,state,mem_tf_flg,batch_pass_dt,last_sell_dt,last_pass_dt,pack_flg,sell_amt,sell_cnt,sell_qty,basket_size,beauty_amt,beauty_cnt,beauty_qty,personal_amt,personal_cnt,personal_qty,health_amt,health_cnt,health_qty,living_amt,living_cnt,living_qty,etc1_amt,etc1_cnt,etc1_qty,b_wellnature_amt,b_wellnature_cnt,b_wellnature_qty,b_esroom_amt,b_esroom_cnt,b_esroom_qty,b_arrenbio_amt,b_arrenbio_cnt,b_arrenbio_qty,p_wellmate_amt,p_wellmate_cnt,p_wellmate_qty,p_wellmoplus_amt,p_wellmoplus_cnt,p_wellmoplus_qty,h_wellseed_amt,h_wellseed_cnt,h_wellseed_qty,h_health_amt,h_health_cnt,h_health_qty,h_litefit_amt,h_litefit_cnt,h_litefit_qty,h_wellmoplus_amt,h_wellmoplus_cnt,h_wellmoplus_qty,l_livingmate_amt,l_livingmate_cnt,l_livingmate_qty,l_tissue_amt,l_tissue_cnt,l_tissue_qty,l_dtc_amt,l_dtc_cnt,l_dtc_qty,l_spad_amt,l_spad_cnt,l_spad_qty,e_cprod_amt,e_cprod_cnt,e_cprod_qty,sell_class_1,sell_class_2,main_class_1,main_class_2,main_day,sell_cycle,r_score,f_score,m_score,rfm_score,rfm_grade,cust_grade,target_value
4279,202104,k88543  ,2,40대,경북,N,7.0,20210427,4.0,,1061600.0,9,51.0,117955.55555555556,322500.0,5.0,12.0,123500.0,4.0,12.0,475000.0,6.0,15.0,140600.0,5.0,11.0,0.0,1.0,1.0,75000.0,4.0,4.0,230000.0,2.0,6.0,17500.0,2.0,2.0,123500.0,4.0,12.0,,,,440000.0,6.0,14.0,,,,35000.0,1.0,1.0,,,,102800.0,3.0,5.0,,,,,,,,,,,,,5,7.0,03,0301,1,21.0,100,100,80,92.83177667225556,1,1,0
4280,202104,k88609  ,2,40대,강원,N,3.0,20210427,4.0,,1016000.0,7,60.0,145142.85714285713,169000.0,3.0,7.0,319000.0,7.0,25.0,,,,528000.0,7.0,28.0,,,,,,,169000.0,3.0,6.0,0.0,1.0,1.0,319000.0,7.0,25.0,,,,,,,,,,,,,,,,331200.0,5.0,7.0,157500.0,6.0,17.0,,,,39300.0,2.0,4.0,,,,3,6.0,04,0201,1,27.5,100,100,80,92.83177667225556,1,1,0
4281,202104,k88840  ,1,50대,전북,N,1.0,20210427,4.0,,717000.0,7,25.0,102428.57142857143,,,,20000.0,2.0,3.0,695000.0,7.0,21.0,,,,2000.0,1.0,1.0,,,,,,,,,,20000.0,2.0,3.0,,,,695000.0,7.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,03,0301,1,28.0,100,100,70,88.79040017426004,2,1,0
4282,202104,k88867  ,2,40대,부산,N,13.0,20210428,3.0,,800000.0,4,26.0,200000.0,0.0,1.0,2.0,30000.0,2.0,2.0,764200.0,4.0,18.0,,,,5800.0,1.0,4.0,,,,,,,0.0,1.0,2.0,30000.0,2.0,2.0,,,,416000.0,3.0,10.0,,,,348200.0,2.0,8.0,,,,,,,,,,,,,,,,,,,4,4.0,03,0301,0,85.0,100,80,70,82.42570599617112,2,1,1
4283,202104,k88868  ,2,40대,부산,N,34.0,20210420,11.0,,816400.0,7,39.0,116628.57142857143,144600.0,4.0,7.0,100000.0,4.0,9.0,412000.0,5.0,7.0,159800.0,4.0,16.0,,,,53000.0,2.0,3.0,91600.0,2.0,4.0,,,,100000.0,4.0,9.0,,,,128000.0,3.0,4.0,240000.0,2.0,2.0,44000.0,1.0,1.0,,,,57600.0,2.0,2.0,51000.0,2.0,7.0,,,,51200.0,3.0,7.0,,,,4,9.0,03,0201,1,28.0,90,100,70,85.72618882313394,2,1,0
4284,202104,k89190  ,2,50대,경기,N,0.0,20210422,9.0,,1366100.0,8,72.0,170762.5,477000.0,7.0,15.0,89500.0,5.0,8.0,611000.0,6.0,20.0,149100.0,7.0,17.0,39500.0,2.0,12.0,106000.0,4.0,5.0,350000.0,6.0,9.0,21000.0,1.0,1.0,89500.0,5.0,8.0,,,,611000.0,6.0,20.0,,,,,,,,,,4500.0,1.0,5.0,134000.0,7.0,11.0,,,,,,,,,,5,7.0,01,0405,1,23.0,90,100,80,89.62809493114327,2,1,0
4285,202104,k89349  ,2,50대,서울,N,18.0,20210427,4.0,,1098900.0,9,36.0,122100.0,254800.0,4.0,12.0,190000.0,3.0,13.0,600000.0,5.0,5.0,54100.0,2.0,6.0,,,,20000.0,1.0,1.0,,,,210000.0,2.0,10.0,190000.0,3.0,13.0,,,,,,,600000.0,5.0,5.0,,,,,,,28800.0,1.0,1.0,4500.0,1.0,1.0,,,,20800.0,1.0,4.0,,,,4,7.0,03,0302,1,21.0,100,100,80,92.83177667225556,1,1,0
4286,202104,k89379  ,2,40대,강원,N,5.0,20210426,5.0,,1082600.0,9,61.0,120288.88888888889,538000.0,6.0,14.0,64000.0,2.0,4.0,200000.0,4.0,5.0,269300.0,5.0,33.0,11300.0,2.0,5.0,155000.0,2.0,7.0,383000.0,5.0,7.0,,,,64000.0,2.0,4.0,,,,200000.0,4.0,5.0,,,,,,,,,,88200.0,3.0,12.0,105500.0,4.0,9.0,,,,,,,11300.0,1.0,3.0,5,7.0,01,0103,1,21.75,100,100,80,92.83177667225556,1,1,1
4287,202104,k89405  ,2,60대,경남,N,6.0,20210427,4.0,,893300.0,8,32.0,111662.5,398000.0,6.0,11.0,80000.0,4.0,7.0,379000.0,6.0,12.0,36300.0,2.0,2.0,,,,95000.0,2.0,4.0,233000.0,4.0,6.0,70000.0,1.0,1.0,80000.0,4.0,7.0,,,,335000.0,6.0,11.0,,,,44000.0,1.0,1.0,,,,28800.0,1.0,1.0,7500.0,1.0,1.0,,,,,,,,,,4,8.0,01,0301,1,23.571428571428573,100,100,80,92.83177667225556,1,1,0
4288,202104,k89434  ,2,50대,경기,N,2.0,20210427,4.0,,770000.0,7,28.0,110000.0,45000.0,3.0,3.0,,,,725000.0,7.0,25.0,,,,,,,45000.0,3.0,3.0,,,,,,,,,,,,,725000.0,7.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,03,0301,1,28.0,100,100,70,88.79040017426004,2,1,0
